GaiaEDR3,Teff,logY
341195058150383104,33260,-1.7
343066598739655680,60000,
343624910126707840,30245,-2.1
343822268167657984,,
344794339527216000,34993,-2.33
345949758745792000,37940,-3.47
346721341030064640,43970,1.51
347453684494319104,28103,-0.87
348462417692887936,,
349755232912531072,38369,-1.28
350422056651321728,41767,-3.25
350797947892605952,29118,-2.9
351536441749571200,36880,-1.59
351633546665907200,25735,-2.78
352729416161843968,23569,-4.13
352951036474046848,27249,-1.58
355574058902192768,38672,-1.56
357580873780641920,32100,-1.98
360511037906831872,31069,-2.31
363795760175504768,36551,-1.48
364262674660355840,,
364742852004132736,35103,-2.12
365002268028633600,42088,-0.04
365939429892433920,34935,-0.9
368263110278860544,38970,-3.2
368884712306195200,,
368884712306195584,31726,-2.47
369573831218501376,30340,-3.26
369576820516013824,32628,-1.67
369621277722573568,31086,-2.59
371004673803838080,33759,-1.71
371711041304831616,28500,-3.0
374540943716955392,28089,-2.05
375833419635317888,,
376390390994395904,58193,-3.67
379059485534295552,32778,-1.5
380338531092183424,28064,-2.55
380384779299991424,29105,-2.8
381038812623475072,27754,-2.9
381370731998505472,37040,-1.74
382086995098288896,29032,-2.76
382781542850500352,37229,-1.66
384250868341348352,,
385493350841270528,,
387470410185960192,30087,-2.71
387533868326227456,32300,-2.3
387661209812972928,37953,-1.53
387992437690797696,31000,-1.7
388536077471770368,,
392046852459641472,25049,-2.92
392840562417338112,26708,-1.52
392942881419391872,45717,1.44
393589879591384576,29448,-2.7
393652139438978304,43628,1.3
394343938410545536,31185,-3.04
394843322846749824,26874,-2.63
394948356271554816,73002,-0.59
394991241522199040,33816,-2.92
395064560905999872,32640,-2.75
395157267782903808,31383,-2.51
395429431270137728,200000,0.6
397395014455786624,29245,-3.04
400211958948711552,43720,0.16
400744642270496896,51294,0.63
401031576147876864,,
401237459701979776,38611,-1.56
401413450281523584,49550,-2.7
402544091832710272,49328,0.71
403769330040790528,,
404172060534423296,59320,-2.97
404204083809859584,50907,-2.14
404392370879544576,34773,-1.87
404958378847936000,36268,-1.57
404959035980962944,32501,-2.72
405830570741274752,,
406328443354164480,,
407102392163968000,,
407322745461965056,,
408127652396870400,50787,-2.35
416183194274969856,35121,-3.25
416348224099839104,40718,1.58
416403783797286784,42205,-4.15
417343419561896960,,
419034464147049600,57193,-1.61
419143904215897728,52767,-1.4
419326659360627968,,
419587969475052160,28200,-2.9
421328839978415616,36247,-1.54
423505288886486272,21132,-2.26
432999228188074624,33725,-1.23
433769779680224256,,
434851149371030272,40059,-3.11
434997246974962688,34823,-2.33
435028583061655040,35097,-1.78
435030026170643968,30940,-2.29
435169561065413120,32930,-2.6
435211617384833536,27990,-2.52
438686001110484352,31876,-3.0
441838202167403776,28500,-2.5
443728125217394688,,
451761328965715968,35270,-1.62
452244873566226560,32305,-1.66
455558286215251840,28582,-2.84
455627138834020480,28901,-3.58
455838867842408064,64239,0.86
456294237450819712,,
456417279675979008,35344,-1.5
463228376251556224,,
468033345145186816,,
469056092819323392,,
471908436438311680,,
473712872456844544,128000,
479180395884853888,46420,1.05
480943256621951360,30560,-2.6
488017140776849664,,
503632542352021376,31500,-2.1
504485110543295616,42578,-3.11
505063728541561344,31098,-2.86
511904404556131200,112000,
526287189172936320,200000,
537481007814722688,,
546695396288672512,,
546757862292757760,,
546832800882546176,,
548172280923344000,,
548483889390935424,,
551708207239316352,30000,-2.2
552891694067107328,26800,-3.0
553641320479547520,34000,-2.0
557301216730452864,35684,-1.4
557304167371416960,,
557308909015358464,34287,-2.5
557591144202517760,,
568173114690199040,,
569988137807051136,44000,1.0
577072596164762624,,
577487253783136384,,
577615106369494528,,
577625895327274752,34434,-1.41
577763368640517760,45501,-2.2
577763368640517760,46296,-2.12
577792849295295488,33882,-1.7
577999175230073728,25335,-2.4
578222930140926208,,
578986163009656320,30268,-2.77
579973490091140352,,
580148686102276352,35684,-4.3
580372234855320064,42550,1.96
581036541741768448,,
581806646557251456,,
584194373496664064,40100,2.0
584196989131676928,,
584668056849158528,46604,1.41
585028765383068288,,
585903912214046336,,
585916208705006464,,
586043309672965888,26060,-2.79
587484528898551552,32803,-1.8
587900900208157568,,
588040469465211904,33519,-1.7
589481345093742080,40235,-1.06
589554973717852544,,
590054976630524416,,
591942700656254720,,
593454670878796032,47939,2.0
593472056906392832,33600,-2.2
594542190958172032,30932,-2.5
594989069420638208,,
595008242154751616,,
595128265015393152,31416,-2.7
595523500790770688,,
595824702553000448,29870,-2.62
596634626009611392,,
597102541222525056,26928,-3.7
599294211494840704,27100,-2.47
601188910547673728,34023,-2.36
601444306482580992,27686,-2.81
601636308700589952,24398,-3.0
601862464498177664,28905,-2.4
602793579048797312,31372,-1.54
602793579048797312,25046,-1.35
603097422215268736,47660,0.73
603097422215268736,43826,1.81
603338210965969280,22762,-2.2
603508192887054336,,
604238612204857088,26200,-1.7
604238612204857088,27698,-2.92
604416389491246976,,
604474251290699776,28050,-2.79
604794342318395520,26248,-4.17
605249471412029824,,
605793081128377344,,
605878980474417664,33600,-3.0
606315516654558848,30900,-3.0
607898538520616704,35300,-2.76
607933448015436416,,
608092018209276032,44084,1.57
609175037161325568,,
609252591386688256,24570,-3.0
611587919724027392,30688,-2.96
611587919724027392,29270,-2.81
611684298790301568,27100,-2.2
611699275340029696,,
613219762482485632,35006,-1.54
615674873163301248,49176,1.05
616217718374853376,29570,-1.6
616743220508208896,42932,1.84
618943618153500032,,
619153556155078272,31721,-3.84
619570610363732736,,
620091435278404608,30000,-2.2
620566974057395840,27982,-2.4
621986203050503552,,
624135370325507840,31564,-3.0
625619814102557568,,
627130616093753600,35513,-1.81
629594278053946752,,
629717865737776896,39447,-1.0
629767519854647424,,
630032463502395776,29000,-2.7
630767869277844864,,
633011250955383168,35855,-3.2
635524012982077568,,
635660764741010304,28739,-1.5
635795386195872896,,
635864754212152448,39500,0.0
637474168652578176,,
637801647024091136,40647,1.69
639171814606295424,25652,-2.0
640415980732444416,,
640792456090137600,51573,
642683203773128448,51954,-0.96
642721068204889216,47358,-0.43
644079931432984704,37374,-2.18
644371984913905536,,
646792010006640768,33355,
647193232966817280,32501,-2.63
648029239761019776,29400,-3.0
648868682531670656,35789,-2.61
648899606296121472,34060,-2.77
649228871371933312,31200,-2.0
649989153600135680,,
650787708277962496,36500,-1.4
650908345319118720,38070,-1.87
650909994586554496,50868,-1.26
650972391871561984,39700,-3.0
651674945442101760,,
651745279826458112,40657,-0.64
651745279826458112,37060,-0.62
652226384884390016,,
652596606768443648,,
652973090718231296,,
653323903647263104,,
653631869983111552,29238,-2.73
654222239006166656,36907,-1.5
654866823401111168,29410,-2.67
654866823401111168,31628,-2.91
655674865665718656,31580,-2.9
656345533398638464,,
656428099850193664,36316,-3.0
657211738106094976,,
657873717121550976,26820,-2.75
657986726300955520,,
658178762878529024,,
658758171147106688,,
659015697386287360,,
660031199453392512,24905,-1.05
660463548040990464,37149,-1.29
661156102927711104,24199,-1.69
662146419308286976,29550,-1.28
